Time (local),Ozone (ppm)
2025-07-07_03:08:06,0.025
2025-07-07_03:09:02,0.026
2025-07-07_03:09:57,0.025
2025-07-07_03:10:52,0.025
2025-07-07_03:11:48,0.024
2025-07-07_03:12:43,0.023
2025-07-07_03:13:39,0.023
2025-07-07_03:15:29,0.023
2025-07-07_03:16:25,0.024
2025-07-07_03:17:20,0.024
2025-07-07_03:18:16,0.023
2025-07-07_03:19:11,0.024
2025-07-07_03:20:06,0.024
2025-07-07_03:21:02,0.024
2025-07-07_03:21:57,0.024
2025-07-07_03:22:53,0.024
2025-07-07_03:23:48,0.023
2025-07-07_03:24:43,0.022
2025-07-07_03:25:39,0.022
2025-07-07_03:27:30,0.023
2025-07-07_03:28:25,0.023
2025-07-07_03:29:20,0.023
2025-07-07_03:30:16,0.024
2025-07-07_03:31:11,0.023
2025-07-07_03:32:07,0.023
2025-07-07_03:33:02,0.024
2025-07-07_03:33:57,0.024
2025-07-07_03:34:53,0.024
2025-07-07_03:35:48,0.024
2025-07-07_03:36:43,0.023
2025-07-07_03:37:39,0.024
2025-07-07_03:39:30,0.024
2025-07-07_03:40:25,0.024
2025-07-07_03:41:20,0.023
2025-07-07_03:42:16,0.023
2025-07-07_03:43:11,0.023
2025-07-07_03:44:06,0.023
2025-07-07_03:45:02,0.023
2025-07-07_03:45:57,0.022
2025-07-07_03:46:53,0.024
2025-07-07_03:47:48,0.022
2025-07-07_03:48:43,0.022
2025-07-07_03:49:39,0.023
2025-07-07_03:51:29,0.022
2025-07-07_03:52:25,0.022
2025-07-07_03:53:20,0.023
2025-07-07_03:54:16,0.022
2025-07-07_03:55:11,0.022
2025-07-07_03:56:06,0.021
2025-07-07_03:57:02,0.021
2025-07-07_03:57:57,0.021
2025-07-07_03:58:52,0.021
2025-07-07_03:59:48,0.022
2025-07-07_04:00:43,0.022
2025-07-07_04:01:39,0.022
2025-07-07_04:03:30,0.022
2025-07-07_04:04:25,0.022
2025-07-07_04:05:20,0.022
2025-07-07_04:06:16,0.021
2025-07-07_04:07:11,0.021
2025-07-07_04:08:07,0.021
2025-07-07_04:09:02,0.021
