Time (local),Ozone (ppm)
2025-07-07_13:39:21,0.019
2025-07-07_13:40:16,0.019
2025-07-07_13:41:11,0.020
2025-07-07_13:42:07,0.018
2025-07-07_13:43:02,0.020
2025-07-07_13:43:57,0.019
2025-07-07_13:44:53,0.019
2025-07-07_13:45:48,0.019
2025-07-07_13:46:43,0.018
2025-07-07_13:47:39,0.018
2025-07-07_13:49:30,0.019
2025-07-07_13:50:25,0.020
2025-07-07_13:51:20,0.020
2025-07-07_13:52:16,0.020
2025-07-07_13:53:11,0.020
2025-07-07_13:54:06,0.020
2025-07-07_13:55:02,0.021
2025-07-07_13:55:57,0.022
2025-07-07_13:56:52,0.021
2025-07-07_13:57:48,0.021
2025-07-07_13:58:43,0.022
2025-07-07_13:59:38,0.022
2025-07-07_14:01:29,0.022
2025-07-07_14:02:24,0.022
2025-07-07_14:03:20,0.021
2025-07-07_14:04:15,0.022
2025-07-07_14:05:11,0.022
2025-07-07_14:06:06,0.022
2025-07-07_14:07:01,0.022
2025-07-07_14:07:57,0.022
2025-07-07_14:08:52,0.022
2025-07-07_14:09:47,0.022
2025-07-07_14:10:43,0.022
2025-07-07_14:11:38,0.022
2025-07-07_14:13:29,0.021
2025-07-07_14:14:24,0.022
2025-07-07_14:15:19,0.022
2025-07-07_14:16:15,0.022
2025-07-07_14:17:10,0.023
2025-07-07_14:18:05,0.023
2025-07-07_14:19:01,0.023
2025-07-07_14:19:56,0.024
2025-07-07_14:20:52,0.021
2025-07-07_14:21:47,0.022
2025-07-07_14:22:42,0.022
2025-07-07_14:23:38,0.023
2025-07-07_14:25:28,0.023
2025-07-07_14:26:24,0.022
2025-07-07_14:27:19,0.023
2025-07-07_14:28:15,0.022
2025-07-07_14:29:10,0.021
2025-07-07_14:30:05,0.021
2025-07-07_14:31:01,0.020
2025-07-07_14:31:56,0.020
2025-07-07_14:32:52,0.021
2025-07-07_14:33:47,0.021
2025-07-07_14:34:42,0.021
2025-07-07_14:35:38,0.022
2025-07-07_14:37:28,0.021
2025-07-07_14:38:24,0.021
2025-07-07_14:39:19,0.022
2025-07-07_14:40:14,0.023
2025-07-07_14:41:10,0.022
2025-07-07_14:42:05,0.023
2025-07-07_14:43:01,0.022
2025-07-07_14:43:56,0.023
2025-07-07_14:44:52,0.023
2025-07-07_14:45:47,0.023
2025-07-07_14:46:42,0.022
2025-07-07_14:47:38,0.022
2025-07-07_14:49:28,0.023
2025-07-07_14:50:24,0.022
2025-07-07_14:51:19,0.023
2025-07-07_14:52:15,0.023
2025-07-07_14:53:10,0.023
2025-07-07_14:54:05,0.023
2025-07-07_14:55:01,0.023
2025-07-07_14:55:56,0.023
2025-07-07_14:56:52,0.024
2025-07-07_14:57:47,0.024
2025-07-07_14:58:42,0.023
2025-07-07_14:59:38,0.024
2025-07-07_15:01:28,0.024
2025-07-07_15:02:24,0.023
2025-07-07_15:03:19,0.023
2025-07-07_15:04:14,0.024
2025-07-07_15:05:10,0.024
2025-07-07_15:06:05,0.025
2025-07-07_15:07:00,0.024
2025-07-07_15:07:56,0.024
2025-07-07_15:08:51,0.023
2025-07-07_15:09:47,0.024
2025-07-07_15:10:42,0.024
2025-07-07_15:11:37,0.023
2025-07-07_15:13:28,0.023
2025-07-07_15:14:23,0.024
2025-07-07_15:15:19,0.023
2025-07-07_15:16:14,0.023
2025-07-07_15:17:09,0.025
2025-07-07_15:18:05,0.024
2025-07-07_15:19:00,0.024
2025-07-07_15:19:56,0.024
2025-07-07_15:20:51,0.024
2025-07-07_15:21:46,0.023
2025-07-07_15:22:42,0.024
2025-07-07_15:23:37,0.025
2025-07-07_15:25:28,0.023
2025-07-07_15:26:23,0.023
2025-07-07_15:27:18,0.023
2025-07-07_15:28:14,-999
2025-07-07_15:29:09,0.023
2025-07-07_15:30:04,0.024
2025-07-07_15:31:00,0.024
2025-07-07_15:31:55,0.023
2025-07-07_15:32:50,0.024
2025-07-07_15:33:46,0.025
2025-07-07_15:34:41,0.024
2025-07-07_15:35:37,0.024
2025-07-07_15:37:27,0.023
2025-07-07_15:38:23,0.024
2025-07-07_15:39:18,0.023
2025-07-07_15:40:13,0.022
2025-07-07_15:41:09,0.022
2025-07-07_15:42:04,0.023
2025-07-07_15:42:59,0.023
2025-07-07_15:43:55,0.021
2025-07-07_15:44:50,0.021
2025-07-07_15:45:46,0.022
2025-07-07_15:46:41,0.022
2025-07-07_15:47:36,0.021
2025-07-07_15:49:27,-999
2025-07-07_15:50:22,0.019
2025-07-07_15:51:18,0.020
2025-07-07_15:52:13,0.020
2025-07-07_15:53:08,0.019
2025-07-07_15:54:04,0.019
2025-07-07_15:54:59,0.018
2025-07-07_15:55:54,0.020
2025-07-07_15:56:50,0.018
2025-07-07_15:57:45,0.017
2025-07-07_15:58:40,0.018
2025-07-07_15:59:36,0.018
2025-07-07_16:01:27,0.017
2025-07-07_16:02:22,0.018
2025-07-07_16:03:17,0.018
2025-07-07_16:04:13,0.015
2025-07-07_16:05:08,0.016
2025-07-07_16:06:03,0.015
2025-07-07_16:06:59,0.016
2025-07-07_16:07:54,0.015
2025-07-07_16:08:49,0.015
2025-07-07_16:09:45,0.017
2025-07-07_16:10:40,0.016
2025-07-07_16:12:31,0.016
2025-07-07_16:13:26,0.016
2025-07-07_16:14:22,0.016
2025-07-07_16:15:17,0.015
2025-07-07_16:16:12,0.015
2025-07-07_16:17:08,0.015
2025-07-07_16:18:03,0.017
2025-07-07_16:18:58,0.013
2025-07-07_16:19:54,0.016
2025-07-07_16:20:49,0.015
2025-07-07_16:21:44,0.014
2025-07-07_16:22:40,0.015
2025-07-07_16:24:30,0.014
2025-07-07_16:25:26,0.012
2025-07-07_16:26:21,0.013
2025-07-07_16:27:16,0.013
2025-07-07_16:28:12,0.012
2025-07-07_16:29:07,0.013
2025-07-07_16:30:02,0.014
2025-07-07_16:30:58,0.013
2025-07-07_16:31:53,0.013
2025-07-07_16:32:49,0.013
2025-07-07_16:33:44,0.013
2025-07-07_16:34:39,0.012
2025-07-07_16:36:30,0.012
2025-07-07_16:37:25,0.012
2025-07-07_16:38:21,0.013
2025-07-07_16:39:16,0.014
2025-07-07_16:40:11,0.014
2025-07-07_16:41:07,0.013
2025-07-07_16:42:02,0.013
2025-07-07_16:42:58,0.015
2025-07-07_16:43:53,0.012
2025-07-07_16:44:48,0.012
2025-07-07_16:45:44,0.012
2025-07-07_16:46:39,0.012
2025-07-07_16:48:30,0.013
2025-07-07_16:49:25,0.013
2025-07-07_16:50:21,0.013
2025-07-07_16:51:16,0.013
2025-07-07_16:52:11,0.013
2025-07-07_16:53:07,0.013
2025-07-07_16:54:02,0.013
2025-07-07_16:54:57,0.013
2025-07-07_16:55:53,0.013
2025-07-07_16:56:48,0.013
2025-07-07_16:57:43,0.014
2025-07-07_16:58:39,0.014
2025-07-07_17:00:30,0.014
2025-07-07_17:01:25,0.014
2025-07-07_17:02:20,0.014
2025-07-07_17:03:16,0.015
2025-07-07_17:04:11,0.018
2025-07-07_17:05:06,0.018
2025-07-07_17:06:02,0.021
2025-07-07_17:06:57,0.020
2025-07-07_17:07:52,0.017
2025-07-07_17:08:48,0.019
2025-07-07_17:09:43,0.019
2025-07-07_17:10:39,0.018
2025-07-07_17:12:30,0.017
2025-07-07_17:13:25,0.017
2025-07-07_17:14:20,0.018
2025-07-07_17:15:16,0.017
2025-07-07_17:16:11,0.018
2025-07-07_17:17:06,0.016
2025-07-07_17:18:02,0.016
2025-07-07_17:18:57,0.017
2025-07-07_17:19:52,0.016
2025-07-07_17:20:48,0.014
2025-07-07_17:21:43,0.017
2025-07-07_17:22:38,0.015
2025-07-07_17:24:29,0.015
2025-07-07_17:25:24,0.015
2025-07-07_17:26:20,0.015
2025-07-07_17:27:15,0.013
2025-07-07_17:28:10,0.012
2025-07-07_17:29:06,0.012
2025-07-07_17:30:01,0.014
2025-07-07_17:30:57,0.015
2025-07-07_17:31:52,0.014
2025-07-07_17:32:47,0.014
2025-07-07_17:33:43,0.015
2025-07-07_17:34:38,0.014
2025-07-07_17:36:29,0.014
2025-07-07_17:37:24,0.014
2025-07-07_17:38:19,0.013
2025-07-07_17:39:15,0.015
2025-07-07_17:40:10,0.016
2025-07-07_17:41:05,0.016
2025-07-07_17:42:01,0.013
2025-07-07_17:42:56,0.014
2025-07-07_17:43:52,0.014
2025-07-07_17:44:47,0.013
2025-07-07_17:45:42,0.014
2025-07-07_17:46:38,0.013
2025-07-07_17:48:28,0.014
2025-07-07_17:49:24,0.015
2025-07-07_17:50:19,0.014
2025-07-07_17:51:14,0.013
2025-07-07_17:52:10,0.012
2025-07-07_17:53:05,0.012
2025-07-07_17:54:01,0.013
2025-07-07_17:54:56,0.013
2025-07-07_17:55:51,0.013
2025-07-07_17:56:47,0.011
2025-07-07_17:57:42,0.012
2025-07-07_17:58:37,0.012
2025-07-07_18:00:28,0.011
2025-07-07_18:01:23,0.012
2025-07-07_18:02:19,0.013
2025-07-07_18:03:14,0.013
2025-07-07_18:04:09,0.014
2025-07-07_18:05:05,0.015
2025-07-07_18:06:00,0.014
2025-07-07_18:06:56,0.010
2025-07-07_18:07:51,0.013
2025-07-07_18:08:46,0.013
2025-07-07_18:09:42,0.012
2025-07-07_18:10:37,0.012
2025-07-07_18:12:28,0.013
2025-07-07_18:13:23,0.014
2025-07-07_18:14:18,0.015
2025-07-07_18:15:14,0.011
2025-07-07_18:16:09,0.013
2025-07-07_18:17:05,0.014
2025-07-07_18:18:00,0.014
2025-07-07_18:18:55,0.014
2025-07-07_18:19:51,0.011
2025-07-07_18:20:46,0.013
2025-07-07_18:21:41,0.012
2025-07-07_18:22:37,0.013
2025-07-07_18:24:27,0.013
2025-07-07_18:25:23,0.013
2025-07-07_18:26:18,0.013
2025-07-07_18:27:13,0.014
2025-07-07_18:28:09,0.015
2025-07-07_18:29:04,0.014
2025-07-07_18:29:59,0.014
2025-07-07_18:30:55,0.015
2025-07-07_18:31:50,0.014
2025-07-07_18:32:46,0.013
2025-07-07_18:33:41,0.013
2025-07-07_18:34:36,0.014
2025-07-07_18:36:27,0.014
2025-07-07_18:37:22,0.013
2025-07-07_18:38:18,0.015
2025-07-07_18:39:13,0.014
2025-07-07_18:40:08,0.015
2025-07-07_18:41:04,0.015
2025-07-07_18:41:59,0.015
2025-07-07_18:42:54,0.014
2025-07-07_18:43:50,0.015
2025-07-07_18:44:45,0.015
2025-07-07_18:45:40,0.013
2025-07-07_18:46:36,0.013
2025-07-07_18:48:26,0.013
2025-07-07_18:49:22,0.013
2025-07-07_18:50:17,0.013
2025-07-07_18:51:13,0.015
2025-07-07_18:52:08,0.014
2025-07-07_18:53:03,0.014
2025-07-07_18:53:59,0.014
2025-07-07_18:54:54,0.015
2025-07-07_18:55:49,0.013
2025-07-07_18:56:45,0.013
2025-07-07_18:57:40,0.013
2025-07-07_18:59:31,0.015
2025-07-07_19:00:26,0.015
2025-07-07_19:01:22,0.015
2025-07-07_19:02:17,0.013
2025-07-07_19:03:12,0.012
2025-07-07_19:04:08,0.012
2025-07-07_19:05:03,0.014
2025-07-07_19:05:58,0.016
2025-07-07_19:06:54,0.013
2025-07-07_19:07:49,0.012
2025-07-07_19:08:44,0.012
2025-07-07_19:09:40,0.012
2025-07-07_19:10:35,0.014
2025-07-07_19:12:26,0.015
2025-07-07_19:13:21,0.013
2025-07-07_19:14:17,0.014
2025-07-07_19:15:12,0.015
2025-07-07_19:16:07,0.017
2025-07-07_19:17:03,0.017
2025-07-07_19:17:58,0.016
2025-07-07_19:18:54,0.016
2025-07-07_19:19:49,0.014
2025-07-07_19:20:44,0.017
2025-07-07_19:21:40,0.015
2025-07-07_19:23:30,0.016
2025-07-07_19:24:26,0.017
2025-07-07_19:25:21,0.017
2025-07-07_19:26:16,0.017
2025-07-07_19:27:12,0.017
2025-07-07_19:28:07,0.016
2025-07-07_19:29:02,0.015
2025-07-07_19:29:58,0.014
2025-07-07_19:30:53,0.015
2025-07-07_19:31:48,0.016
2025-07-07_19:32:44,0.015
2025-07-07_19:33:39,0.015
2025-07-07_19:35:30,0.014
2025-07-07_19:36:25,0.014
2025-07-07_19:37:21,0.016
2025-07-07_19:38:16,0.015
2025-07-07_19:39:11,0.015
2025-07-07_19:40:07,0.014
2025-07-07_19:41:02,0.015
2025-07-07_19:41:57,0.015
2025-07-07_19:42:53,0.014
2025-07-07_19:43:48,0.016
2025-07-07_19:44:43,0.016
2025-07-07_19:45:39,0.017
2025-07-07_19:47:29,0.017
2025-07-07_19:48:25,0.018
2025-07-07_19:49:20,0.017
2025-07-07_19:50:15,0.017
2025-07-07_19:51:11,0.017
2025-07-07_19:52:06,0.017
2025-07-07_19:53:02,0.017
2025-07-07_19:53:57,0.015
2025-07-07_19:54:52,0.017
2025-07-07_19:55:48,0.017
2025-07-07_19:56:43,0.019
2025-07-07_19:57:38,0.020
2025-07-07_19:59:29,0.019
2025-07-07_20:00:25,0.019
2025-07-07_20:01:20,0.019
2025-07-07_20:02:15,0.019
2025-07-07_20:03:11,0.018
2025-07-07_20:04:06,0.018
2025-07-07_20:05:01,0.018
2025-07-07_20:05:57,0.016
2025-07-07_20:06:52,0.018
2025-07-07_20:07:47,0.017
2025-07-07_20:08:43,0.018
2025-07-07_20:09:38,0.019
2025-07-07_20:11:29,0.016
2025-07-07_20:12:24,0.017
2025-07-07_20:13:19,0.018
2025-07-07_20:14:15,0.019
2025-07-07_20:15:10,0.019
2025-07-07_20:16:05,0.021
2025-07-07_20:17:01,0.021
2025-07-07_20:17:56,0.019
2025-07-07_20:18:52,0.018
2025-07-07_20:19:47,0.018
2025-07-07_20:20:43,0.019
2025-07-07_20:21:38,0.020
2025-07-07_20:23:29,0.019
2025-07-07_20:24:24,0.018
2025-07-07_20:25:19,0.018
2025-07-07_20:26:15,0.019
2025-07-07_20:27:10,0.019
2025-07-07_20:28:05,0.019
2025-07-07_20:29:01,0.018
2025-07-07_20:29:56,0.018
2025-07-07_20:30:52,0.018
2025-07-07_20:31:47,0.018
2025-07-07_20:32:42,-999
2025-07-07_20:33:38,0.019
2025-07-07_20:35:28,0.019
2025-07-07_20:36:24,0.019
2025-07-07_20:37:19,0.019
2025-07-07_20:38:14,0.020
2025-07-07_20:39:10,0.021
2025-07-07_20:40:05,0.018
2025-07-07_20:41:00,0.020
2025-07-07_20:41:56,0.020
2025-07-07_20:42:51,0.020
2025-07-07_20:43:46,0.019
2025-07-07_20:44:42,0.020
2025-07-07_20:45:37,0.022
2025-07-07_20:47:28,0.020
2025-07-07_20:48:23,0.020
2025-07-07_20:49:19,0.020
2025-07-07_20:50:14,0.020
2025-07-07_20:51:09,0.020
2025-07-07_20:52:05,0.018
2025-07-07_20:53:00,0.020
2025-07-07_20:53:55,0.019
2025-07-07_20:54:51,0.020
2025-07-07_20:55:46,0.021
2025-07-07_20:56:41,0.021
2025-07-07_20:57:37,0.021
2025-07-07_20:59:27,0.023
2025-07-07_21:00:23,0.023
2025-07-07_21:01:18,0.022
2025-07-07_21:02:14,0.023
2025-07-07_21:03:09,0.021
2025-07-07_21:04:04,0.020
2025-07-07_21:05:00,0.020
2025-07-07_21:05:55,0.020
2025-07-07_21:06:50,0.022
2025-07-07_21:07:46,0.021
2025-07-07_21:08:41,0.023
2025-07-07_21:09:36,0.024
2025-07-07_21:11:27,0.022
2025-07-07_21:12:23,0.023
2025-07-07_21:13:18,0.024
2025-07-07_21:14:13,0.024
2025-07-07_21:15:09,0.022
2025-07-07_21:16:04,0.024
2025-07-07_21:16:59,0.023
2025-07-07_21:17:55,0.023
2025-07-07_21:18:50,0.024
2025-07-07_21:19:45,0.024
2025-07-07_21:20:41,0.024
2025-07-07_21:21:36,0.023
2025-07-07_21:23:27,0.023
2025-07-07_21:24:22,0.023
2025-07-07_21:25:17,0.023
2025-07-07_21:26:13,0.024
2025-07-07_21:27:08,0.024
2025-07-07_21:28:04,0.023
2025-07-07_21:28:59,0.023
2025-07-07_21:29:54,0.023
2025-07-07_21:30:50,0.023
2025-07-07_21:31:45,0.025
2025-07-07_21:32:40,0.026
2025-07-07_21:33:36,0.025
2025-07-07_21:35:27,0.026
2025-07-07_21:36:22,0.026
2025-07-07_21:37:18,0.026
2025-07-07_21:38:13,0.026
2025-07-07_21:39:08,0.025
2025-07-07_21:40:04,0.025
2025-07-07_21:40:59,0.025
2025-07-07_21:41:55,0.026
2025-07-07_21:42:50,0.027
2025-07-07_21:43:45,0.027
2025-07-07_21:44:41,0.026
2025-07-07_21:45:36,0.027
2025-07-07_21:47:27,0.026
2025-07-07_21:48:22,0.026
2025-07-07_21:49:18,0.026
2025-07-07_21:50:13,0.025
2025-07-07_21:51:08,0.025
2025-07-07_21:52:04,0.025
2025-07-07_21:52:59,0.025
2025-07-07_21:53:54,0.025
2025-07-07_21:54:50,-999
2025-07-07_21:55:45,-999
2025-07-07_21:56:41,0.024
2025-07-07_21:57:36,-999
2025-07-07_21:59:27,0.025
2025-07-07_22:00:22,0.026
2025-07-07_22:01:17,0.025
2025-07-07_22:02:13,0.025
2025-07-07_22:03:08,0.025
2025-07-07_22:04:04,0.028
2025-07-07_22:04:59,0.026
2025-07-07_22:05:54,0.026
2025-07-07_22:06:50,0.026
2025-07-07_22:07:45,0.025
2025-07-07_22:08:41,0.026
2025-07-07_22:09:36,0.025
2025-07-07_22:11:27,0.026
2025-07-07_22:12:22,0.026
2025-07-07_22:13:17,0.026
2025-07-07_22:14:13,0.026
2025-07-07_22:15:08,0.026
2025-07-07_22:16:04,0.026
2025-07-07_22:16:59,0.025
2025-07-07_22:17:54,0.023
2025-07-07_22:18:50,0.024
2025-07-07_22:19:45,0.025
2025-07-07_22:20:40,0.025
2025-07-07_22:21:36,0.025
2025-07-07_22:23:26,0.025
2025-07-07_22:24:22,0.025
2025-07-07_22:25:17,0.024
2025-07-07_22:26:12,0.025
2025-07-07_22:27:08,0.025
2025-07-07_22:28:03,0.026
2025-07-07_22:28:59,0.026
2025-07-07_22:29:54,0.026
2025-07-07_22:30:49,0.026
2025-07-07_22:31:45,0.027
2025-07-07_22:32:40,0.026
2025-07-07_22:34:31,0.024
2025-07-07_22:35:26,0.024
2025-07-07_22:36:21,0.025
2025-07-07_22:37:17,0.025
2025-07-07_22:38:12,0.025
2025-07-07_22:39:08,0.025
2025-07-07_22:40:03,0.025
2025-07-07_22:40:58,0.024
2025-07-07_22:41:54,0.023
2025-07-07_22:42:49,0.024
2025-07-07_22:43:45,0.025
2025-07-07_22:44:40,0.026
2025-07-07_22:46:31,0.025
2025-07-07_22:47:26,0.025
2025-07-07_22:48:21,0.025
2025-07-07_22:49:17,0.025
2025-07-07_22:50:12,0.026
2025-07-07_22:51:08,0.026
2025-07-07_22:52:03,0.026
2025-07-07_22:52:58,0.025
2025-07-07_22:53:54,0.026
2025-07-07_22:54:49,0.025
2025-07-07_22:55:44,0.026
2025-07-07_22:56:40,0.026
2025-07-07_22:57:35,0.026
2025-07-07_22:59:27,0.027
2025-07-07_23:00:22,0.027
2025-07-07_23:01:17,0.027
2025-07-07_23:02:13,0.026
2025-07-07_23:03:08,0.027
2025-07-07_23:04:03,0.027
2025-07-07_23:04:59,0.027
2025-07-07_23:05:54,0.026
2025-07-07_23:06:50,0.026
2025-07-07_23:07:45,0.026
2025-07-07_23:08:40,0.027
2025-07-07_23:09:36,0.026
2025-07-07_23:11:27,0.025
2025-07-07_23:12:22,0.025
2025-07-07_23:13:17,0.025
2025-07-07_23:14:13,0.026
2025-07-07_23:15:08,0.026
2025-07-07_23:16:03,0.026
2025-07-07_23:16:59,0.026
2025-07-07_23:17:54,0.026
2025-07-07_23:18:49,0.025
2025-07-07_23:19:45,0.025
2025-07-07_23:20:40,0.026
2025-07-07_23:21:35,0.026
2025-07-07_23:23:26,0.025
2025-07-07_23:24:22,0.025
2025-07-07_23:25:17,0.027
2025-07-07_23:26:12,0.027
2025-07-07_23:27:08,0.027
2025-07-07_23:28:03,0.026
2025-07-07_23:28:58,0.027
2025-07-07_23:29:54,0.027
2025-07-07_23:30:49,0.027
2025-07-07_23:31:44,0.026
2025-07-07_23:32:40,0.025
2025-07-07_23:34:30,0.026
2025-07-07_23:35:26,0.027
2025-07-07_23:36:21,0.027
2025-07-07_23:37:17,0.028
2025-07-07_23:38:12,0.027
2025-07-07_23:39:07,0.025
2025-07-07_23:40:03,0.026
2025-07-07_23:40:58,0.026
2025-07-07_23:41:53,0.027
2025-07-07_23:42:49,0.027
2025-07-07_23:43:44,0.027
2025-07-07_23:44:39,0.027
2025-07-07_23:46:30,0.027
2025-07-07_23:47:25,-999
2025-07-07_23:48:21,0.026
2025-07-07_23:49:16,0.027
2025-07-07_23:50:12,0.026
2025-07-07_23:51:07,0.027
2025-07-07_23:52:02,0.028
2025-07-07_23:52:58,0.028
2025-07-07_23:53:53,0.028
2025-07-07_23:54:48,0.027
2025-07-07_23:55:44,0.026
2025-07-07_23:56:39,0.027
2025-07-07_23:58:30,0.028
2025-07-07_23:59:25,0.028
